"","names","scores","logfoldchanges","pvals","pvals_adj","logp","Celltype"
"862","CHEMBL1201011|QUINAPRIL HYDROCHLORIDE",3.584547,-0.27070087,0.000337663609565146,0.0006837129047983,3.16512622289388,"other"
"841","CHEMBL3545068|COPANLISIB HYDROCHLORIDE",3.796356,-0.26372474,0.000146838664521225,0.000313409575409176,3.50388773893367,"other"
"842","CHEMBL3218576|COPANLISIB",3.796356,-0.26372474,0.000146838664521225,0.000313409575409176,3.50388773893367,"other"
"1120","CHEMBL1161|MOMETASONE FUROATE",-3.3063238,-0.261706,0.000945288138093203,0.00185234703222712,2.73227764613008,"other"
"1295","CHEMBL131|PREDNISOLONE",-5.201936,-0.25816503,1.97223267856381e-07,4.96815770521843e-07,6.30380462671653,"other"
"800","CHEMBL27|PROPRANOLOL",4.8381867,-0.25414917,1.31028880134329e-06,3.18585130028398e-06,5.49677449877131,"other"
"1446","CHEMBL24828|VANDETANIB",-11.95715,-0.25149277,5.95712408741617e-33,2.66870430729303e-32,31.5736995434193,"other"
"831","CHEMBL1657|TAZAROTENE",3.9473617,-0.24182835,7.90171379442366e-05,0.000179958956621604,3.74482653348154,"other"
"615","CHEMBL383634|GLIQUIDONE",9.191279,-0.23969805,3.88197701052702e-20,1.41932971117326e-19,18.8479167059448,"other"
"1416","CHEMBL46516|FLUSPIRILENE",-8.202996,-0.23723464,2.3446863434419e-16,8.02112279169077e-16,15.095764835194,"other"
"1419","CHEMBL58|MITOXANTRONE",-8.4716015,-0.23525959,2.42041465371546e-17,8.421528083909e-17,16.0746090987382,"other"
"832","CHEMBL111|RIMONABANT",3.9453957,-0.2309886,7.96683333914033e-05,0.000181273249744532,3.74166627944275,"other"
"895","CHEMBL43064|CINNARIZINE",3.1640975,-0.2277962,0.00155564652888957,0.00301275646054148,2.52103597357649,"other"
"821","CHEMBL1319139|BROMHEXINE HYDROCHLORIDE",4.0119433,-0.22143096,6.02210016995831e-05,0.000138440385486072,3.85873720008695,"other"
"822","CHEMBL1090|VIDARABINE",4.0119433,-0.22143096,6.02210016995831e-05,0.000138440385486072,3.85873720008695,"other"
"823","CHEMBL1479848|ACETOMENAPHTHONE",4.0119433,-0.22143096,6.02210016995831e-05,0.000138440385486072,3.85873720008695,"other"
"824","CHEMBL1551365|ETHYL NITRITE [SPIRIT]",4.0119433,-0.22143096,6.02210016995831e-05,0.000138440385486072,3.85873720008695,"other"
"825","CHEMBL1201284|CINACALCET",4.0119433,-0.22143096,6.02210016995831e-05,0.000138440385486072,3.85873720008695,"other"
"791","CHEMBL1568057|METAPROTERENOL SULFATE",5.051018,-0.22142777,4.39460732953662e-07,1.08725297494442e-06,5.96366939534331,"other"
"863","CHEMBL21731|MAPROTILINE",3.570663,-0.21871479,0.000356078936038014,0.00072040453064432,3.14242356455373,"other"
"1242","CHEMBL44657|ETOPOSIDE",-4.052523,-0.21321163,5.06682386529404e-05,0.000117251193703966,3.93088272715099,"other"
"806","CHEMBL486696|DOMIPHEN BROMIDE",4.5823493,-0.21141781,4.59781233761144e-06,1.10800482539878e-05,4.9554583482362,"other"
"887","CHEMBL1483|ALBENDAZOLE",3.3178668,-0.2089866,0.000907077054543005,0.00178209676739935,2.74906871757942,"other"
"1383","CHEMBL601719|CRIZOTINIB",-6.9519386,-0.2067127,3.60300002071841e-12,1.09341663159767e-11,10.9612143244849,"other"
"797","CHEMBL1265|ADAPALENE",4.8896213,-0.20530495,1.01030192801195e-06,2.46626598394933e-06,5.6079600870541,"other"
"820","CHEMBL552659|FLUNARIZINE HYDROCHLORIDE",4.0867157,-0.20184512,4.37522309054159e-05,0.000101438821606301,3.99379580454174,"other"
"886","CHEMBL515914|AZARIBINE",3.3212478,-0.18926877,0.000896159489159835,0.0017620627897789,2.75397861989183,"other"
"1299","CHEMBL2403108|CERITINIB",-5.359501,-0.18703252,8.34521684335156e-08,2.11527465272932e-07,6.67463323470945,"other"
"840","CHEMBL185|FLUOROURACIL",3.8126926,-0.1790157,0.00013746096100763,0.00029416405129017,3.5314104019016,"other"
